"n","Insertion-Sort-Iterative","Insertion-Sort-Recursive","Insertion-Sort-Binary","Counting-Inversions"
10,0.0000000000,0.0000000000,0.0000000000,0.0000000000
20,0.0000000000,0.0000000000,0.0000000000,0.0000000000
30,0.0000200000,0.0000200000,0.0000200000,0.0000000000
40,0.0000212500,0.0000200000,0.0000200000,0.0000000000
50,0.0000012500,0.0000000000,0.0000012500,0.0000200000
60,0.0000187500,0.0000000000,0.0000000000,0.0000000000
70,0.0000000000,0.0000000000,0.0000000000,0.0000787500
80,0.0000387500,0.0000387500,0.0000400000,0.0000200000
90,0.0000587500,0.0000187500,0.0000000000,0.0000575000
100,0.0000200000,0.0000375000,0.0000587500,0.0000387500
110,0.0000187500,0.0000000000,0.0000587500,0.0000800000
120,0.0000975000,0.0000387500,0.0000575000,0.0000200000
130,0.0000587500,0.0000837500,0.0000787500,0.0000587500
140,0.0000575000,0.0000587500,0.0000400000,0.0000975000
150,0.0000600000,0.0000000000,0.0000962500,0.0001362500
160,0.0000987500,0.0000387500,0.0000600000,0.0001550000
170,0.0000587500,0.0001175000,0.0000600000,0.0001775000
180,0.0000762500,0.0000575000,0.0000987500,0.0001962500
190,0.0001187500,0.0001175000,0.0000575000,0.0001150000
200,0.0000600000,0.0001975000,0.0001075000,0.0001362500
210,0.0001550000,0.0001162500,0.0000187500,0.0002450000
220,0.0001762500,0.0001650000,0.0001025000,0.0002650000
230,0.0001000000,0.0001162500,0.0000387500,0.0002787500
240,0.0000975000,0.0000787500,0.0001712500,0.0003112500
250,0.0001550000,0.0001175000,0.0000925000,0.0003937500
260,0.0001612500,0.0001962500,0.0001737500,0.0004275000
270,0.0002162500,0.0002337500,0.0001762500,0.0003950000
280,0.0001275000,0.0001350000,0.0002150000,0.0004287500
290,0.0002150000,0.0002762500,0.0001762500,0.0003725000
300,0.0002950000,0.0002575000,0.0001762500,0.0003637500
310,0.0002712500,0.0002525000,0.0001775000,0.0006062500
320,0.0003700000,0.0002725000,0.0001562500,0.0005862500
330,0.0002962500,0.0003512500,0.0003375000,0.0005137500
340,0.0002662500,0.0003450000,0.0002962500,0.0006062500
350,0.0003462500,0.0003937500,0.0002462500,0.0006375000
360,0.0003350000,0.0003562500,0.0002375000,0.0006875000
370,0.0003787500,0.0004075000,0.0003112500,0.0006825000
380,0.0004475000,0.0003837500,0.0003900000,0.0007412500
390,0.0004487500,0.0004312500,0.0002725000,0.0006812500
